title,description,created_at,deadline,category,priority
Create budget tracker,Design an Excel sheet to manage monthly expenses.,2025-07-02,2025-07-09,finance,medium
Research health insurance,Compare options and choose a health insurance plan.,2025-07-05,2025-07-25,health,high
Watch portfolio tutorials,Learn how to build a developer portfolio site.,2025-07-03,2025-07-20,education,medium
Organize bookshelf,Rearrange books by genre and donate old ones.,2025-07-07,2025-07-14,home,low
Apply for internship,Submit applications for fall internship positions.,2025-07-04,2025-07-20,career,high
Join gym membership,Visit nearby gyms and select a monthly plan.,2025-07-06,2025-07-12,health,medium
Upload project to GitHub,Push the completed project to your GitHub repo.,2025-07-03,2025-07-10,project,high
Write blog post,Write and publish a post on your tech blog.,2025-07-07,2025-07-13,hobby,medium
Prepare travel itinerary,Plan locations and bookings for August trip.,2025-07-08,2025-07-18,travel,high
Clean refrigerator,"Defrost and clean fridge, discard expired items.",2025-07-05,2025-07-09,home,low
Update LinkedIn profile,Add new certifications and job responsibilities.,2025-07-02,2025-07-15,career,medium
Practice meditation daily,Develop a daily 10-minute meditation habit.,2025-07-01,2025-07-31,personal,medium
Schedule eye checkup,Book an appointment with your optometrist.,2025-07-10,2025-07-18,health,medium
Download latest IDE,Get the latest version of VS Code or PyCharm.,2025-07-03,2025-07-06,tech,low
Study DSA in Java,Practice linked lists and binary trees this week.,2025-07-04,2025-07-20,education,high
Fix bathroom faucet,Call a plumber to repair the leaking tap.,2025-07-08,2025-07-13,home,medium
Back up phone data,Transfer photos and files to Google Drive.,2025-07-06,2025-07-10,tech,medium
Sign up for newsletter,Subscribe to monthly productivity updates.,2025-07-01,2025-07-05,personal,low
Submit feedback form,Fill and submit course feedback by deadline.,2025-07-09,2025-07-12,education,medium
Replace mouse battery,Change the old batteries in wireless mouse.,2025-07-04,2025-07-07,tech,low
Download bank statement,Save this month's statement for recordkeeping.,2025-07-05,2025-07-09,finance,medium
Get haircut,Visit salon for routine haircut and grooming.,2025-07-03,2025-07-07,personal,low
Practice HTML and CSS,Build 2 sample websites for practice.,2025-07-02,2025-07-18,project,medium
Help neighbor move,Assist Priya with packing and moving boxes.,2025-07-06,2025-07-13,community,low
Organize workspace,Declutter desk and organize office supplies.,2025-07-08,2025-07-15,home,low
Finish online ML quiz,Submit the quiz before it closes.,2025-07-04,2025-07-05,education,high
Upload presentation slides,Share slides with the team after the meeting.,2025-07-09,2025-07-10,work,medium
Renew antivirus,Buy or renew antivirus software license.,2025-07-02,2025-07-07,tech,medium
Water garden daily,Maintain plant hydration in summer.,2025-07-01,2025-07-31,home,low
Review team proposals,Go through submitted pitches from teammates.,2025-07-05,2025-07-08,work,high
Organize trip photos,Sort and create album from Goa vacation.,2025-07-03,2025-07-12,hobby,medium
Create invoice template,Make a reusable invoice format in Excel.,2025-07-07,2025-07-15,finance,medium
Print ID card,Get your college/work ID printed.,2025-07-04,2025-07-10,education,low
Walk 10k steps daily,Meet step goal each day to stay fit.,2025-07-01,2025-07-31,health,medium
Fix Wi-Fi router,Reset or replace the malfunctioning router.,2025-07-06,2025-07-09,tech,high
Plan birthday party,"Organize venue, cake, and guest list for birthday celebration.",2025-07-01,2025-07-25,personal,medium
Complete tax filing,Submit income tax returns and supporting documents.,2025-06-30,2025-07-31,finance,high
Clean garage,Sort items and deep clean the garage over the weekend.,2025-07-10,2025-07-21,home,low
Read new novel,Finish reading 'The Midnight Library' this month.,2025-07-08,2025-07-30,hobby,low
Apply for internship,Submit resume and cover letter to 3 tech companies.,2025-07-03,2025-07-17,career,high
Fix leaky faucet,Buy parts and repair the kitchen faucet.,2025-07-11,2025-07-19,home,medium
Plan weekend trip,Decide location and book accommodation for weekend getaway.,2025-07-06,2025-07-20,travel,medium
Upload project to GitHub,Push final project files with proper documentation.,2025-07-01,2025-07-16,tech,high
Donate old clothes,Collect clothes and drop them at donation center.,2025-07-04,2025-07-18,community,medium
Finish online course,Complete all modules of the AI certification course.,2025-07-05,2025-07-28,education,high
Send thank-you emails,Write and send emails to interview panel.,2025-07-02,2025-07-06,career,medium
Start yoga routine,Begin 15-min daily yoga practice at home.,2025-07-01,2025-07-31,health,medium
Fix broken chair,Glue and tighten the loose parts of the wooden chair.,2025-07-07,2025-07-15,home,low
Prepare resume,Update resume with recent experiences and projects.,2025-07-01,2025-07-12,career,high
Organize bookshelf,Arrange books by category and donate unused ones.,2025-07-10,2025-07-17,home,low
Watch tech webinar,Attend live webinar on emerging web technologies.,2025-07-09,2025-07-15,tech,medium
Submit research abstract,Write and upload abstract for conference presentation.,2025-07-03,2025-07-14,education,high
Buy groceries,Restock kitchen supplies and household essentials.,2025-07-12,2025-07-13,personal,medium
Practice coding daily,Do 1 LeetCode problem every day.,2025-07-01,2025-07-31,tech,medium
Volunteer at shelter,Help with food service and cleaning at local shelter.,2025-07-10,2025-07-25,community,high
Backup phone data,Upload photos and documents to cloud storage.,2025-07-11,2025-07-13,tech,low
Decorate workspace,"Add lighting, plants, and posters to workspace.",2025-07-06,2025-07-18,personal,low
Schedule health checkup,Book full body checkup at Apollo Hospital.,2025-07-05,2025-07-22,health,medium
Update LinkedIn profile,Add recent accomplishments and connections.,2025-07-02,2025-07-10,career,medium
Design project logo,Create and finalize a logo for the app.,2025-07-07,2025-07-16,project,high
Buy flight tickets,Reserve round trip flights for vacation.,2025-07-09,2025-07-20,travel,high
Rearrange living room,Shift furniture for a fresh look and clean.,2025-07-04,2025-07-14,home,medium
Finish video edit,Complete edits for YouTube travel vlog.,2025-07-03,2025-07-13,hobby,medium
Create budget sheet,Plan monthly expenses and savings in Excel.,2025-07-01,2025-07-07,finance,high
Review team reports,Check and approve weekly reports submitted by team.,2025-07-08,2025-07-12,work,medium
Help sibling with homework,Assist younger sibling with math problems.,2025-07-05,2025-07-15,personal,medium
Start journal habit,Write daily reflections in a physical journal.,2025-07-01,2025-07-31,hobby,low
Test website for bugs,Check deployed site and report any bugs.,2025-07-06,2025-07-14,project,high
Organize photo albums,Sort and label old family photographs.,2025-07-09,2025-07-24,personal,low
Conduct team meeting,Discuss sprint progress and assign next tasks.,2025-07-03,2025-07-04,work,high
Install home antivirus,Purchase and set up security software.,2025-07-08,2025-07-10,tech,medium
Attend book club meeting,Participate in this month's discussion.,2025-07-11,2025-07-11,hobby,low
Water plants daily,Ensure indoor plants are well watered.,2025-07-01,2025-07-31,home,medium
Practice guitar chords,Spend 20 minutes practicing major chords.,2025-07-01,2025-07-31,hobby,low
Update portfolio site,Add new projects and testimonials.,2025-07-03,2025-07-14,career,medium
Study for quiz,Review class notes for Friday's quiz.,2025-07-07,2025-07-11,education,high
Check tire pressure,Maintain car tires for better mileage.,2025-07-10,2025-07-15,personal,low
Organize community cleanup,Lead park cleanup drive on weekend.,2025-07-06,2025-07-20,community,high
Clean fridge,Dispose of expired items and wipe surfaces.,2025-07-05,2025-07-10,home,low
Buy birthday gift,Pick a present for best friend's birthday.,2025-07-02,2025-07-09,personal,medium
Write blog post,Draft and publish new blog entry.,2025-07-04,2025-07-15,hobby,medium
Join online meetup,Participate in local JavaScript developer group.,2025-07-12,2025-07-12,tech,low
Build to-do app,Code and test simple task manager app.,2025-07-01,2025-07-15,project,high
Refill water filter,Replace water filter cartridge at home.,2025-07-07,2025-07-11,home,medium
